# FlashTeX canonical LaTeX list: the coverage denominator for `flashtex-compiler --supported`.
# GENERATED by crates/compiler/scripts/canonical_latex.py; do not edit by hand.
# Method: candidates from the sources below, each confirmed defined by a pdfLaTeX run
# (\documentclass{article}); a package set excludes names defined without it (article plus
# the package's own dependencies); names with @ _ : are excluded; tikz excludes pgf*.
# Engine: TeX 3.141592653 (TeX Live 2026)
# Source kernel: doc/latex/latex2e-help-texinfo/latex2e.texi (UPDATED May 2024) @findex commands and @EnvIndex environments; confirmed with LaTeX2e 2025-11-01 patch level 0, article class
# Source amsmath: tokens of amsmath.sty, amstext.sty, amsbsy.sty, amsopn.sty (amsmath.sty 2025/07/09 v2.17z AMS math features; amstext.sty 2024/11/17 v2.01 AMS text; amsbsy.sty 1999/11/29 v1.2d Bold Symbols; amsopn.sty 2022/04/08 v2.04 operator names); dependency baseline: amsgen
# Source amssymb: tokens of amssymb.sty, amsfonts.sty (amssymb.sty 2013/01/14 v3.01 AMS font symbols; amsfonts.sty 2013/01/14 v3.01 Basic AMSFonts support); dependency baseline: none
# Source enumitem: tokens of enumitem.sty (enumitem.sty 2025/02/06 v3.11 Customized lists); dependency baseline: none
# Source geometry: tokens of geometry.sty (geometry.sty 2026/03/07 v6.0 Page Geometry); dependency baseline: keyval, ifvtex, iftex
# Source graphicx: tokens of graphicx.sty, graphics.sty (graphicx.sty 2024/12/31 v1.2e Enhanced LaTeX Graphics (DPC,SPQR); graphics.sty 2024/08/06 v1.4g Standard LaTeX Graphics (DPC,SPQR)); dependency baseline: keyval, trig
# Source hyperref: tokens of hyperref.sty, nameref.sty (hyperref.sty 2026-01-29 v7.01p Hypertext links for LaTeX; nameref.sty 2026-01-29 v2.58 Cross-referencing by name of section); dependency baseline: iftex, keyval, kvsetkeys, kvdefinekeys, pdfescape, ltxcmds, pdftexcmds, infwarerr, hycolor, refcount, gettitlestring, kvoptions, etoolbox, stringenc, intcalc, url, bitset, bigintcalc, rerunfilecheck, uniquecounter
# Source tikz: tokens of tikz.sty, tikz.code.tex (tikz.sty 2025-08-29 v3.1.11a (3.1.11a); pgf 3.1.11a); dependency baseline: pgf, pgfrcs, pgfcore, graphicx, keyval, graphics, trig, pgfsys, xcolor, pgfcomp-version-0-65, pgfcomp-version-1-18, pgffor, pgfkeys, pgfmath
# Source xcolor: tokens of xcolor.sty (xcolor.sty 2024/09/29 v3.02 LaTeX color extensions (UK)); dependency baseline: none
# Source siunitx: tokens of siunitx.sty (siunitx.sty 2025-07-09 v3.4.14 A comprehensive (SI) units package); dependency baseline: translations, etoolbox, pdftexcmds, infwarerr, iftex, ltxcmds, amstext, amsgen, array
# set	kind	name
amssymb	command	blacktriangle
amssymb	command	blacktriangledown
amssymb	command	blacktriangleleft
amssymb	command	blacktriangleright
amssymb	command	bold
amssymb	command	boxdot
amssymb	command	boxminus
amssymb	command	boxplus
amssymb	command	boxtimes
amssymb	command	bumpeq
amssymb	command	centerdot
amssymb	command	checkmark
amssymb	command	circeq
amssymb	command	circlearrowleft
amssymb	command	circlearrowright
amssymb	command	circledR
amssymb	command	circledS
amssymb	command	circledast
amssymb	command	circledcirc
amssymb	command	circleddash
amssymb	command	complement
amssymb	command	curlyeqprec
amssymb	command	curlyeqsucc
amssymb	command	curlyvee
amssymb	command	curlywedge
amssymb	command	curvearrowleft
amssymb	command	curvearrowright
amssymb	command	daleth
amssymb	command	dasharrow
amssymb	command	dashleftarrow
amssymb	command	dashrightarrow
amssymb	command	diagdown
amssymb	command	diagup
amssymb	command	digamma
amssymb	command	divideontimes
amssymb	command	doteqdot
amssymb	command	dotplus
amssymb	command	doublebarwedge
amssymb	command	doublecap
amssymb	command	doublecup
amssymb	command	downdownarrows
amssymb	command	downharpoonleft
amssymb	command	downharpoonright
amssymb	command	eqcirc
amssymb	command	eqsim
amssymb	command	eqslantgtr
amssymb	command	eqslantless
amssymb	command	eth
amssymb	command	fallingdotseq
amssymb	command	frak
amssymb	command	geqq
amssymb	command	geqslant
amssymb	command	ggg
amssymb	command	gggtr
amssymb	command	gimel
amssymb	command	gnapprox
amssymb	command	gneq
amssymb	command	gneqq
amssymb	command	gnsim
amssymb	command	gtrapprox
amssymb	command	gtrdot
amssymb	command	gtreqless
amssymb	command	gtreqqless
amssymb	command	gtrless
amssymb	command	gtrsim
amssymb	command	gvertneqq
amssymb	command	hslash
amssymb	command	intercal
amssymb	command	leftarrowtail
amssymb	command	leftleftarrows
amssymb	command	leftrightarrows
amssymb	command	leftrightharpoons
amssymb	command	leftrightsquigarrow
amssymb	command	leftthreetimes
amssymb	command	leqq
amssymb	command	leqslant
amssymb	command	lessapprox
amssymb	command	lessdot
amssymb	command	lesseqgtr
amssymb	command	lesseqqgtr
amssymb	command	lessgtr
amssymb	command	lesssim
amssymb	command	llcorner
amssymb	command	lll
amssymb	command	llless
amssymb	command	lnapprox
amssymb	command	lneq
amssymb	command	lneqq
amssymb	command	lnsim
amssymb	command	looparrowleft
amssymb	command	looparrowright
amssymb	command	lozenge
amssymb	command	lrcorner
amssymb	command	ltimes
amssymb	command	lvertneqq
amssymb	command	maltese
amssymb	command	mathbb
amssymb	command	mathfrak
amssymb	command	measuredangle
amssymb	command	multimap
amssymb	command	nLeftarrow
amssymb	command	nLeftrightarrow
amssymb	command	nRightarrow
amssymb	command	nVDash
amssymb	command	nVdash
amssymb	command	ncong
amssymb	command	newsymbol
amssymb	command	nexists
amssymb	command	ngeq
amssymb	command	ngeqq
amssymb	command	ngeqslant
amssymb	command	ngtr
amssymb	command	nleftarrow
amssymb	command	nleftrightarrow
amssymb	command	nleq
amssymb	command	nleqq
amssymb	command	nleqslant
amssymb	command	nless
amssymb	command	nmid
amssymb	command	nparallel
amssymb	command	nprec
amssymb	command	npreceq
amssymb	command	nrightarrow
amssymb	command	nshortmid
amssymb	command	nshortparallel
amssymb	command	nsim
amssymb	command	nsubseteq
amssymb	command	nsubseteqq
amssymb	command	nsucc
amssymb	command	nsucceq
amssymb	command	nsupseteq
amssymb	command	nsupseteqq
amssymb	command	ntriangleleft
amssymb	command	ntrianglelefteq
amssymb	command	ntriangleright
amssymb	command	ntrianglerighteq
amssymb	command	nvDash
amssymb	command	nvdash
amssymb	command	pitchfork
amssymb	command	precapprox
amssymb	command	preccurlyeq
amssymb	command	precnapprox
